"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.63723955382274,0.906,0.268,0,"0","KRT19"
0,1.76153381115939,0.839,0.236,0,"0","AC006064.4"
0,1.34867613506025,0.894,0.324,0,"0","RPL27AP"
0,1.26261655234453,0.956,0.395,0,"0","AC116533.1"
0,1.40649305820853,0.825,0.27,0,"0","AC069213.3"
0,1.39538309410482,0.825,0.275,0,"0","AC110749.1"
0,1.26240163477496,0.904,0.358,0,"0","AL035078.1"
0,1.24001483104745,0.907,0.365,0,"0","AC079922.1"
0,1.2314269333598,0.944,0.402,0,"0","AL513302.1"
0,1.25024717105981,0.837,0.297,0,"0","AL079342.1"
0,1.09813513023081,0.852,0.314,0,"0","ABCC5"
0,1.81799325943625,0.753,0.219,0,"0","IGFBP2"
0,1.42942148335271,0.79,0.257,0,"0","RPLP0P2"
0,1.66282211074507,0.783,0.25,0,"0","DNAJC19"
0,1.14033254565783,0.876,0.343,0,"0","AC073861.1"
0,1.89047314591112,0.685,0.158,0,"0","ATP5MC1"
0,1.21539140814249,0.859,0.332,0,"0","AL136380.1"
0,1.49191047873721,0.753,0.228,0,"0","AC026403.1"
0,1.52012922473695,0.951,0.427,0,"0","CD9"
0,1.49473720342546,0.822,0.302,0,"0","RPL22L1"
0,1.09401249003233,0.874,0.355,0,"0","RPL37P6"
0,1.11836486755056,0.966,0.454,0,"0","AP001324.1"
0,2.40488982845044,0.607,0.096,0,"0","RBP1"
0,1.44049717309543,0.734,0.224,0,"0","ATP5MF"
0,1.50023334843274,0.721,0.211,0,"0","ATP5MPL"
0,2.06821886624751,0.623,0.115,0,"0","LGALS7B"
0,1.86458357394424,0.65,0.145,0,"0","ATP5PD"
0,1.14881163844625,0.799,0.299,0,"0","RPS13P2"
0,1.3500814781583,0.758,0.262,0,"0","PLD3"
0,1.28381539221448,0.885,0.391,0,"0","LGALS3BP"
0,1.36315112356644,0.732,0.238,0,"0","SOX2"
0,1.28897814740669,0.929,0.44,0,"0","SPINT2"
0,1.47047913310744,0.678,0.189,0,"0","AL365258.2"
